Name,sample_size,power
Intradaily variability,6,0.521
Intradaily variability,7,0.529
Intradaily variability,8,0.584
Intradaily variability,9,0.618
Intradaily variability,10,0.645
Intradaily variability,11,0.675
Intradaily variability,12,0.691
Intradaily variability,13,0.723
Intradaily variability,14,0.732
Intradaily variability,15,0.767
Intradaily variability,16,0.789
Intradaily variability,17,0.8
Intradaily variability,18,0.817
Intradaily variability,19,0.848
Intradaily variability,20,0.862
Intradaily variability,21,0.865
Intradaily variability,22,0.881
Intradaily variability,23,0.891
Intradaily variability,24,0.883
Intradaily variability,25,0.901
Intradaily variability,26,0.901
Intradaily variability,27,0.901
Intradaily variability,28,0.918
Intradaily variability,29,0.939
Intradaily variability,30,0.942
Intradaily variability,31,0.948
Intradaily variability,32,0.965
Intradaily variability,33,0.956
Intradaily variability,34,0.957
Intradaily variability,35,0.969
Intradaily variability,36,0.968
Intradaily variability,37,0.974
Intradaily variability,38,0.982
Intradaily variability,39,0.977
Intradaily variability,40,0.976
Intradaily variability,41,0.981
Intradaily variability,42,0.99
Intradaily variability,43,0.981
Intradaily variability,44,0.979
Intradaily variability,45,0.986
Intradaily variability,46,0.989
Intradaily variability,47,0.985
Intradaily variability,48,0.99
Intradaily variability,49,0.989
Intradaily variability,50,0.992
Luminous exposure (lx*h),3,0.975
Luminous exposure (lx*h),4,0.999
Luminous exposure (lx*h),5,0.999
Luminous exposure (lx*h),6,0.999
Luminous exposure (lx*h),7,1
Luminous exposure (lx*h),8,1
Luminous exposure (lx*h),9,1
Luminous exposure (lx*h),10,1
Luminous exposure (lx*h),11,1
Luminous exposure (lx*h),12,1
Luminous exposure (lx*h),13,1
Luminous exposure (lx*h),14,1
Luminous exposure (lx*h),15,1
Luminous exposure (lx*h),16,1
Luminous exposure (lx*h),17,1
Luminous exposure (lx*h),18,1
Luminous exposure (lx*h),19,1
Luminous exposure (lx*h),20,1
Luminous exposure (lx*h),21,1
Luminous exposure (lx*h),22,1
Luminous exposure (lx*h),23,1
Luminous exposure (lx*h),24,1
Luminous exposure (lx*h),25,1
Luminous exposure (lx*h),26,1
Luminous exposure (lx*h),27,1
Luminous exposure (lx*h),28,1
Luminous exposure (lx*h),29,1
Luminous exposure (lx*h),30,1
Luminous exposure (lx*h),31,1
Luminous exposure (lx*h),32,1
Luminous exposure (lx*h),33,1
Luminous exposure (lx*h),34,1
Luminous exposure (lx*h),35,1
Luminous exposure (lx*h),36,1
Luminous exposure (lx*h),37,1
Luminous exposure (lx*h),38,1
Luminous exposure (lx*h),39,1
Luminous exposure (lx*h),40,1
Luminous exposure (lx*h),41,1
Luminous exposure (lx*h),42,1
Luminous exposure (lx*h),43,1
Luminous exposure (lx*h),44,1
Luminous exposure (lx*h),45,1
Luminous exposure (lx*h),46,1
Luminous exposure (lx*h),47,1
Luminous exposure (lx*h),48,1
Luminous exposure (lx*h),49,1
Luminous exposure (lx*h),50,1
"Mean of brightest 10 hours (M10, lux)",3,0.982
"Mean of brightest 10 hours (M10, lux)",4,0.997
"Mean of brightest 10 hours (M10, lux)",5,0.998
"Mean of brightest 10 hours (M10, lux)",6,1
"Mean of brightest 10 hours (M10, lux)",7,1
"Mean of brightest 10 hours (M10, lux)",8,1
"Mean of brightest 10 hours (M10, lux)",9,1
"Mean of brightest 10 hours (M10, lux)",10,1
"Mean of brightest 10 hours (M10, lux)",11,1
"Mean of brightest 10 hours (M10, lux)",12,1
"Mean of brightest 10 hours (M10, lux)",13,1
"Mean of brightest 10 hours (M10, lux)",14,1
"Mean of brightest 10 hours (M10, lux)",15,1
"Mean of brightest 10 hours (M10, lux)",16,1
"Mean of brightest 10 hours (M10, lux)",17,1
"Mean of brightest 10 hours (M10, lux)",18,1
"Mean of brightest 10 hours (M10, lux)",19,1
"Mean of brightest 10 hours (M10, lux)",20,1
"Mean of brightest 10 hours (M10, lux)",21,1
"Mean of brightest 10 hours (M10, lux)",22,1
"Mean of brightest 10 hours (M10, lux)",23,1
"Mean of brightest 10 hours (M10, lux)",24,1
"Mean of brightest 10 hours (M10, lux)",25,1
"Mean of brightest 10 hours (M10, lux)",26,1
"Mean of brightest 10 hours (M10, lux)",27,1
"Mean of brightest 10 hours (M10, lux)",28,1
"Mean of brightest 10 hours (M10, lux)",29,1
"Mean of brightest 10 hours (M10, lux)",30,1
"Mean of brightest 10 hours (M10, lux)",31,1
"Mean of brightest 10 hours (M10, lux)",32,1
"Mean of brightest 10 hours (M10, lux)",33,1
"Mean of brightest 10 hours (M10, lux)",34,1
"Mean of brightest 10 hours (M10, lux)",35,1
"Mean of brightest 10 hours (M10, lux)",36,1
"Mean of brightest 10 hours (M10, lux)",37,1
"Mean of brightest 10 hours (M10, lux)",38,1
"Mean of brightest 10 hours (M10, lux)",39,1
"Mean of brightest 10 hours (M10, lux)",40,1
"Mean of brightest 10 hours (M10, lux)",41,1
"Mean of brightest 10 hours (M10, lux)",42,1
"Mean of brightest 10 hours (M10, lux)",43,1
"Mean of brightest 10 hours (M10, lux)",44,1
"Mean of brightest 10 hours (M10, lux)",45,1
"Mean of brightest 10 hours (M10, lux)",46,1
"Mean of brightest 10 hours (M10, lux)",47,1
"Mean of brightest 10 hours (M10, lux)",48,1
"Mean of brightest 10 hours (M10, lux)",49,1
"Mean of brightest 10 hours (M10, lux)",50,1
"Mean of darkest 5 hours (L5, lux)",3,0.338
"Mean of darkest 5 hours (L5, lux)",4,0.357
"Mean of darkest 5 hours (L5, lux)",5,0.348
"Mean of darkest 5 hours (L5, lux)",6,0.409
"Mean of darkest 5 hours (L5, lux)",7,0.412
"Mean of darkest 5 hours (L5, lux)",8,0.463
"Mean of darkest 5 hours (L5, lux)",9,0.479
